Language,LanguageCode,AppName,ShortDescription,FullDescription
Korean,ko-KR,AI 저장공간 정리,"중복 사진 삭제, 앱 캐시 정리, 저장공간 최적화를 손쉽게 실행하세요.","AI 저장공간 정리는 스마트한 파일 관리 도구를 통해 기기의 저장공간을 효율적으로 최적화합니다.

주요 기능:
• AI 스마트 스캔: 불필요한 시스템 캐시, 임시 파일 및 잔여 데이터를 원터치로 감지합니다.
• 스와이프 갤러리 정리: 왼쪽으로 스와이프하여 ненужные 사진을 삭제하고, 오른쪽으로 스와이프하여 소중한 추억을 보관하세요.
• 중복 사진 탐지: 유사한 사진과 연속 촬영 중 가장 선명한 사진을 자동으로 남기고 중복본을 정리합니다.
• 미디어 압축: 화질 손상 없이 4K 동영상 및 고해상도 사진의 용량을 줄입니다.
• 앱 캐시 정리: 용량을 많이 차지하는 앱 캐시를 쉽게 확인하고 정리할 수 있습니다.
• 안전 보관함: 중요한 사진과 파일을 기기 내 암호화된 안전 보관함에 보관하세요.
• 다운로드 만료 알림: 30일, 60일, 90일 이상 지난 오래된 다운로드 파일을 감지합니다.
• 저장공간 통계 차트: 사진, 동영상, 앱, 문서별 용량 점유율을 한눈에 그래프로 확인하세요.

개인정보 보호:
모든 파일 스캔 및 정리 작업은 사용자의 기기 내부에서만 로컬로 처리됩니다. 사진과 개인 데이터는 외부 서버로 전송되지 않습니다."
Italian,it-IT,Pulizia Memoria AI,"Pulisci memoria, rimuovi foto duplicate, svuota la cache e ottimizza spazio.","Pulizia Memoria AI ti aiuta a ottimizzare lo spazio sul tuo dispositivo con strumenti intelligenti di gestione dei file.

Funzionalità principali:
• Scansione Intelligente AI: Individua cache di sistema, file temporanei e dati residui in un tocco.
• Pulizia Galleria con Swipe: Scorri a sinistra per eliminare le foto indesiderate e a destra per conservare i ricordi migliori.
• Rilevatore Foto Duplicate: Trova ed elimina i duplicati mantenendo automaticamente lo scatto più nitido.
• Compressione File Multimediali: Comprimi video 4K e foto ad alta risoluzione senza perdita visibile di qualità.
• Pulizia Cache App: Gestisci facilmente le applicazioni che accumulano file di cache pesanti.
• Cassaforte Sicura: Proteggi foto e file personali organizzandoli in una cassaforte locale sicura.
• Scadenza Download: Rileva automaticamente i download vecchi di oltre 30, 60 o 90 giorni.
• Statistiche sullo Spazio: Grafici chiari che mostrano la distribuzione dello spazio tra foto, video, app e documenti.

Privacy:
Tutte le scansioni e le eliminazioni avvengono localmente sul tuo dispositivo. I tuoi file personali non vengono mai inviati a server esterni."
Dutch,nl-NL,AI Opslag Opschonen,"Schoon opslagruimte op, verwijder dubbele foto's en wis app-cache snel.","AI Opslag Opschonen helpt u de opslagruimte van uw apparaat te optimaliseren met slimme bestandsbeheertools.

Belangrijkste functies:
• Slimme AI-scan: Detecteer systeemcache, tijdelijke bestanden en resterende data met één tik.
• Galerij Opschonen via Vegen: Veeg naar links om ongewenste foto's te verwijderen en naar rechts om herinneringen te bewaren.
• Dubbele Foto's Detecteren: Vind en verwijder dubbele foto's terwijl automatisch de scherpste foto wordt behouden.
• Media Comprimeren: Comprimeer 4K-video's en foto's zonder merkbaar kwaliteitsverlies.
• App Cache Opschonen: Zie direct welke apps grote hoeveelheden cachegeheugen in beslag nemen.
• Veilige Kluis: Bescherm gevoelige foto's en bestanden in een veilige lokale kluis.
• Downloads Vervaldatum: Detecteer oude downloads die ouder zijn dan 30, 60 of 90 dagen.
• Opslaganalyse: Overzichtelijke grafieken van het geheugengebruik per categorie.

Privacy:
Alle scans en verwijderingen worden lokaal op uw apparaat uitgevoerd. Uw persoonlijke bestanden worden nooit geüpload naar externe servers."
Polish,pl-PL,Czyszczenie Pamięci AI,"Usuwaj duplikaty zdjęć, czyść pamięć podręczną aplikacji i zwalniaj miejsce.","Czyszczenie Pamięci AI pomaga zoptymalizować miejsce w pamięci urządzenia za pomocą inteligentnych narzędzi do zarządzania plikami.

Główne funkcja:
• Inteligentne skanowanie AI: Wykrywaj pamięć podręczną systemu, pliki tymczasowe i zbędne dane.
• Czyszczenie galerii gestem: Przesuń w lewo, aby usunąć niechciane zdjęcia, lub w prawo, aby zachować najlepsze ujęcia.
• Wykrywanie duplikatów zdjęć: Znajduj i usuwaj powtarzające się zdjęcia, automatycznie zachowując najostrzeższą fotografię.
• Kompresja multimediów: Kompresuj wideo 4K i zdjęcia w wysokiej rozdzielczości bez widocznej utraty jakości.
• Czyszczenie pamięci podręcznej aplikacji: Łatwo identyfikuj aplikacje gromadzące duże ilości pamięci cache.
• Bezpieczny sejf: Chroń prywatne zdjęcia i pliki w bezpiecznym lokalnym sejfie.
• Automatyczne wygasanie pobranych plików: Wykrywaj pliki pobrane starsze niż 30, 60 lub 90 dni.
• Analiza pamięci: Czytelne wykresy przedstawiające podział pamięci na zdjęcia, wideo, aplikacje i dokumenty.

Prywatność:
Wszystkie skany i usunięcia plików odbywają się lokalnie na Twoim urządzeniu. Twoje prywatne pliki nigdy nie są wysyłane na zewnętrzne serwery."
Turkish,tr-TR,AI Depolama Temizleyici,"Depolama alanını temizleyin, yinelenen fotoğrafları ve önbelleği silin.","AI Depolama Temizleyici, akıllı dosya yönetimi araçlarıyla cihazınızın depolama alanını optimize etmenize yardımcı olur.

Ana Özellikler:
• AI Akıllı Tarama: Sistem önbelleğini, geçici dosyaları ve artık verileri tek dokunuşla tespit edin.
• Kaydırarak Galeri Temizleme: İstenmeyen fotoğrafları silmek için sola, anılarınızı saklamak için sağa kaydırın.
• Yinelenen Fotoğraf Tespiti: En net fotoğrafı otomatik olarak korurken benzer fotoğrafları bulun ve silin.
• Medya Sıkıştırma: Kalite kaybı yaşamadan 4K videoları ve yüksek çözünürlüklü fotoğrafları sıkıştırın.
• Uygulama Önbellek Temizleyici: Yüksek miktarda önbellek biriktiren uygulamaları kolayca temizleyin.
• Güvenli Kasa: Hassas fotoğrafları ve dosyaları güvenli bir yerel kasada koruyun.
• İndirme Süresi Sınırı: 30, 60 veya 90 günden eski indirmeleri otomatik olarak tespit edin.
• Depolama Analizi: Fotoğraflar, videolar, uygulamalar ve belgeler arasındaki alan dağılımını grafiklerle görün.

Gizlilik:
Tüm tarama ve silme işlemleri cihazınızda yerel olarak gerçekleşir. Kişisel dosyalarınız asla harici sunuculara yüklenmez."
Swedish,sv-SE,AI Lagringsrensare,"Rensa lagringsutrymme, ta bort dubbeltecknade foton och töm appcache.","AI Lagringsrensare hjälper dig att optimera enhetens utrymme med smarta filhanteringsverktyg.

Huvudfunktioner:
• AI Smartskanning: Hitta systemcache, temporära filer och skräpfiler med ett tryck.
• Svep-galleri Rensing: Svep till vänster för att radera foton och till höger för att behålla dem.
• Detektera Dubblettfoton: Hitta och ta bort liknande foton medan den skarpaste bilden behålls automatiskt.
• Mediekomprimering: Komprimera 4K-videor och högupplösta foton utan synbar kvalitetsförlust.
• App-cache Rensa: Hitta enkelt appar som samlar på sig stor mängd cacheminne.
• Säkert Valv: Skydda kännsliga foton och filer i ett säkert lokalt valv.
• Utgångsdatum för Nedladdningar: Hitta gamla nedladdade filer som är äldre än 30, 60 eller 90 dagar.
• Lagringsanalys: Tydliga diagram som visar fördelningen mellan foton, videor, appar och dokument.

Integritet:
Alla skanningar och raderingar sker lokalt på din enhet. Dina personliga filer överförs aldrig till externa servrar."
Danish,da-DK,AI Lagerrenser,"Rens lagerplads, fjern dubletfotos og ryd app-cache nemt og hurtigt.","AI Lagerrenser hjælper dig med at optimere din enheds lagerplads med intelligente filhåndteringsværktøjer.

Nøglefunktioner:
• AI Smart-scanning: Identificer system-cache, midlertidige filer og resterende data.
• Stryg-gallerirenser: Stryg til venstre for at slette fotos og til højre for at gemme dine minder.
• Registrering af Dubletfotos: Find og fjern dublerede billeder, mens det skarpeste foto automatisk gemmes.
• Mediekomprimering: Komprimer 4K-videoer og fotos i høj opløsning uden synligt kvalitetstab.
• App-cache Rensning: Se nemt hvilke apps der optager meget cache-lagerplads.
• Sikker Boks: Beskyt følsomme billeder og filer i en sikker lokal boks.
• Udløb af Downloads: Identificer automatisk downloads der er ældre end 30, 60 eller 90 dage.
• Lageranalyse: Overskuelige diagrammer over pladsfordelingen mellem fotos, videoer, apps og dokumenter.

Privatliv:
Alle scanninger og sletninger udføres lokalt på din enhed. Dine personlige filer uploades aldrig til eksterne servere."
Finnish,fi-FI,AI Tallennustilan Puhdistus,"Puhdista tallennustila, poista kaksoiskuvat ja tyhjennä sovellusvälimuisti.","AI Tallennustilan Puhdistus auttaa optimoimaan laitteesi tallennustilan älykkäillä tiedostojenhallintatyökaluilla.

Tärkeimmät ominaisuudet:
• AI Älykäs Skannaus: Tunnista järjestelmän välimuisti, väliaikaistiedostot ja turha data yhdellä napautuksella.
• Pyyhkäisypuhdistus Galleria: Pyyhkäise vasemmalle poistaaksesi kuvat ja oikealle säilyttääksesi ne.
• Kaksoiskuvien Tunnistus: Löydä ja poista samankaltaiset kuvat säilyttäen automaattisesti terävimmän otoksen.
• Median Tiivistys: Tiivistä 4K-videot ja korkearesoluutioiset kuvat ilman näkyvää laadun heikkenemistä.
• Sovellusvälimuistin Puhdistus: Tunnista helposti sovellukset, jotka kerryttävät suurta välimuistia.
• Turvaholvi: Suojaa yksityiset kuvat ja tiedostot turvallisessa paikallisessa holvissa.
• Latausten Vanheneminen: Tunnista yli 30, 60 tai 90 päivää vanhat ladatut tiedostot.
• Tallennustilan Analysi: Selkeät kaaviot kuvien, videoiden, sovellusten ja dokumenttien viemästä tilasta.

Tietosuoja:
Kaikki skannaukset ja poistot tapahtuvat paikallisesti laitteellasi. Yksityisiä tiedostojasi ei koskaan lähetetä ulkoisille palvelimille."
Norwegian,nb-NO,AI Lagringsrenser,"Rydd lagringsplass, slett dupliserte bilder og tøm app-buffer enkelt.","AI Lagringsrenser hjelper deg med å optimalisere enhetens lagringsplass med smarte filhåndteringsverktøy.

Hovedfunksjoner:
• AI Smartskanning: Identifiser systembuffer, midlertidige filer og ubrukte data med ett trykk.
• Sveisegalleri-renser: Sveip til venstre for å slette bilder og til høyre for å ta vare på minnene.
• Duplikatbilde-detektor: Finn og slett like bilder mens det skarpeste bildet automatisk bevares.
• Mediekomprimering: Komprimer 4K-videoer og høyoppløselige bilder uten synlig kvalitetstap.
• Tøm App-buffer: Identifiser enkelt apper som samler opp store mengder bufferdata.
• Sikker Hvelv: Beskytt følsomme bilder og filer i et sikkert lokalt hvelv.
• Utløp for Nedlastinger: Oppdag automatisk nedlastede filer som er eldre enn 30, 60 eller 90 dager.
• Lagringsanalyse: Oversiktlige diagrammer som viser fordelingen mellom bilder, videoer, apper og dokumenter.

Personvern:
Alle skanninger og slettinger skjer lokalt på enheten din. Dine personlige filer blir aldri sendt til eksterne servere."
Czech,cs-CZ,AI Čistič Úložiště,"Vyčistěte úložiště, odstraňte duplicitní fotky a smažte mezipaměť aplikací.","AI Čistič Úložiště vám pomůže optimalizovat prostor v zařízení pomocí chytrých nástrojů pro správu souborů.

Hlavní funkce:
• AI Chytré Skenování: Rozpozná systémovou mezipaměť, dočasné soubory a zbytková data.
• Čištění Galerie Tažením: Přejetím dolevá smažete nežádoucí fotky, přejetím doprava je uložíte.
• Detekce Duplicitních Fotek: Najde a odstraní duplicitní snímky, přičemž automaticky zachová nejostřejší fotku.
• Komprese Médií: Zmenšete velikost 4K videí a fotek ve vysokém rozlišení bez viditelné ztráty kvality.
• Čistič Mezipaměti Aplikací: Snadno identifikuje aplikace zabírající velké množství mezipaměti.
• Bezpečný Trezor: Chraňte citlivé fotky a soubory v bezpečném lokálním trezoru.
• Expirace Stažených Souborů: Detekujte staré stažené soubory starší než 30, 60 nebo 90 dní.
• Analýza Úložiště: Přehledné grafy zobrazující rozdělení prostoru mezi fotky, videa, aplikace a dokumenty.

Soukromí:
Všechna skenování a mazání probíhají lokálně ve vašem zařízení. Vaše osobní soubory se nikdy neodesílají na externí servery."
Slovak,sk-SK,AI Čistič Úložiska,"Vyčistite úložisko, odstráňte duplicitné fotky a vymažte vyrovnávaciu pamäť.","AI Čistič Úložiska vám pomôže optimalizovať priestor v zariadení pomocou inteligentných nástrojov na správu súborov.

Hlavné funkcie:
• AI Inteligentné Skenovanie: Rozpozná systémovú vyrovnávaciu pamäť, dočasné súbory a zvyškové dáta.
• Čistenie Galérie Gestom: Potiahnutím doľava vymažete neželané fotky, potiahnutím doprava ich uložíte.
• Detekcia Duplicitných Fotiek: Nájde a odstráni duplicitné zábery, pričom automaticky zachová najostrejšiu fotku.
• Kompresia Médií: Zmenšite veľkosť 4K videí a fotiek bez viditeľnej straty kvality.
• Čistič Vyrovnávacej Pamäte Aplikácií: Ľahko identifikuje aplikácie zaberajúce veľa pamäte.
• Bezpečný Trezor: Chráňte citlivé fotky a súbory v bezpečnom lokálnom trezore.
• Expirácia Stiahnutých Súborov: Detegujte staré stiahnuté súbory staršie ako 30, 60 alebo 90 dní.
• Analýza Úložiska: Prehľadné grafy zobrazujúce rozdelenie priestoru medzi fotky, videá, aplikácie a dokumenty.

Súkromie:
Všetky skenovania a mazania prebiehajú lokálne vo vašom zariadení. Vaše osobné súbory sa nikdy neodesielajú na externé servery."
Hungarian,hu-HU,AI Tárhely Tisztító,"Tisztítsa meg a tárhelyet, törölje a duplikált fotókat és a gyorsítótárat.","Az AI Tárhely Tisztító segít optimalizálni a készülék tárhelyét az intelligens fájlkezelő eszközök segítségével.

Fő funkciók:
• AI Okos Scan: Felismeri a rendszer gyorsítótárat, az ideiglenes fájlokat és a maradék adatokat.
• Húzással Történő Tárhelytisztítás: Húzza balra a nem kívánt fotók törléséhez, és jobbra a képek megőrzéséhez.
• Duplikált Fotók Észlelése: Megkeresi és törli a duplikált fényképeket, miközben automatikusa megőrzi a legélesebb képet.
• Média Tömörítés: Tömörítse a 4K videókat és a nagy felbontású képeket látható minőségromlás nélkül.
• Alkalmazás Gyorsítótár Tisztító: Könnyen azonosítja a nagy gyorsítótárat felhalmozó alkalmazásokat.
• Biztonságos Széf: Védje a bizalmas fotókat és fájlokat egy biztonságos helyi széfben.
• Letöltések Lejárata: Automatikusan észleli a 30, 60 vagy 90 napnál régebbi letöltött fájlokat.
• Tárhely Elemzés: Átlátható diagramok a fotók, videók, alkalmazások és dokumentumok tárhelyhasználatáról.

Adatvédelem:
Minden elemzés és törlés helyileg történik a készülékén. Személyes fájljait soha nem töltjük fel külső szerverekre."
